platform;visits
ASL;3
DAB;4
DSA;3
DSS;3
GFA;4
GFB;3
GFC;3
KVB;2
NLN;3
OSO;3
STA;4
STB;3
STC;3
TEN;4
TEQ;4
TRB;1
TRC;2
TRO;2
VAL;1
VFB;4
