ID;Latitude;Longitude;Cargo_per_visit;Visits_per_week
ASL;61.07;2.00;25;3
DAB;61.27;3.37;40;4
DSA;61.43;1.93;29;3
DSS;61.57;2.15;29;3
GFA;61.17;2.18;32;4
GFB;61.20;2.20;22;3
GFC;61.20;2.27;25;3
KVB;61.08;2.50;14;2
NLN;61.03;2.33;25;3
STA;61.25;1.85;25;4
STB;61.20;1.82;29;3
STC;61.29;1.90;29;3
TEQ;60.87;3.55;18;4
TRC;60.88;3.60;18;2
VAL;61.04;2.38;11;1
