platform;avg_q
APT;18.0
ASL;25.0
DAB;40.0
DSA;29.0
DSS;29.0
GFAGFB;48.5
GFC;25.0
KVB;14.0
MID;14.0
NLNVAL;28.67
OSC;18.0
OSE;36.0
OSOVFB;28.5
OSS;18.0
STASTB;46.75
STC;29.0
TENTRB;23.5
TEQTRC;27.0
TRO;11.0
