DUS,JSF,GRA,SLB,TEB,DUS
DUS,JSF,SLA,SLB,TEB,DUS
DUS,DAB,DRA,GKR,GUD,SLB,DUS
DUS,DAB,DRA,GKR,GRA,SLA,DUS
DUS,DAB,DRA,GKR,GRA,SLB,DUS
DUS,DAB,DRA,GKR,GRA,TEB,DUS
DUS,DAB,DRA,GKR,HDA,SLA,DUS
DUS,DAB,DRA,GKR,HDA,SLB,DUS
DUS,DAB,DRA,GUD,GRA,SLA,DUS
DUS,DAB,DRA,GUD,GRA,SLB,DUS
DUS,DAB,DRA,GUD,GRA,TEB,DUS
DUS,DAB,DRA,GUD,HDA,SLA,DUS
DUS,DAB,DRA,GUD,HDA,SLB,DUS
DUS,DAB,DRA,GUD,SLA,TEB,DUS
DUS,DAB,DRA,GUD,SLB,TEB,DUS
DUS,DAB,DRA,GRA,HDA,SLA,DUS
DUS,DAB,DRA,GRA,HDA,SLB,DUS
DUS,DAB,DRA,GRA,HDA,TEB,DUS
DUS,DAB,DRA,GRA,SLA,SLB,DUS
DUS,DAB,DRA,GRA,SLA,TEB,DUS
DUS,DAB,DRA,GRA,SLB,TEB,DUS
DUS,DAB,DRA,HDA,SLA,SLB,DUS
DUS,DAB,DRA,HDA,SLA,TEB,DUS
DUS,DAB,DRA,HDA,SLB,TEB,DUS
DUS,DAB,DSA,HDA,SLA,SLB,DUS
DUS,DAB,GKR,GUD,GRA,SLB,DUS
DUS,DAB,GKR,GUD,HDA,SLA,DUS
DUS,DAB,GKR,GRA,HDA,SLA,DUS
DUS,DAB,GKR,GRA,HDA,SLB,DUS
DUS,DAB,GKR,GRA,SLA,TEB,DUS
DUS,DAB,GKR,GRA,SLB,TEB,DUS
DUS,DAB,GKR,HDA,SLA,SLB,DUS
DUS,DAB,GKR,HDA,SLA,TEB,DUS
DUS,DAB,GKR,HDA,SLB,TEB,DUS
DUS,DAB,GUD,GRA,HDA,SLA,DUS
DUS,DAB,GUD,GRA,HDA,SLB,DUS
DUS,DAB,GUD,HDA,SLA,SLB,DUS
DUS,DAB,GUD,HDA,SLA,TEB,DUS
DUS,DAB,GUD,HDA,SLB,TEB,DUS
DUS,DAB,GRA,SLA,SLB,TEB,DUS
DUS,DRA,DSA,GKR,GRA,SLA,DUS
DUS,DRA,DSA,GKR,GRA,SLB,DUS
DUS,DRA,DSA,GKR,GRA,TEB,DUS
DUS,DRA,DSA,GKR,HDA,SLA,DUS
DUS,DRA,DSA,GKR,HDA,SLB,DUS
DUS,DRA,DSA,GKR,HDA,TEB,DUS
DUS,DRA,DSA,GUD,GRA,SLB,DUS
DUS,DRA,DSA,GUD,GRA,TEB,DUS
DUS,DRA,DSA,GUD,HDA,SLA,DUS
DUS,DRA,DSA,GUD,HDA,SLB,DUS
DUS,DRA,DSA,GUD,HDA,TEB,DUS
DUS,DRA,DSA,GRA,HDA,SLA,DUS
DUS,DRA,DSA,GRA,HDA,SLB,DUS
DUS,DRA,DSA,GRA,HDA,TEB,DUS
DUS,DRA,DSA,HDA,SLA,SLB,DUS
DUS,DRA,DSA,HDA,SLA,TEB,DUS
DUS,DRA,DSA,HDA,SLB,TEB,DUS
DUS,DRA,GKR,GUD,HDA,SLA,DUS
DUS,DRA,GKR,GUD,HDA,SLB,DUS
DUS,DRA,GKR,GUD,HDA,TEB,DUS
DUS,DRA,GKR,GUD,SLA,SLB,DUS
DUS,DRA,GKR,JSF,GRA,SLB,DUS
DUS,DRA,GKR,JSF,GRA,TEB,DUS
DUS,DRA,GKR,JSF,HDA,SLA,DUS
DUS,DRA,GKR,JSF,HDA,SLB,DUS
DUS,DRA,GKR,GRA,HDA,SLA,DUS
DUS,DRA,GKR,GRA,HDA,SLB,DUS
DUS,DRA,GKR,GRA,HDA,TEB,DUS
DUS,DRA,GKR,HDA,SLA,SLB,DUS
