platform;avg_q
ASL;25.0
DAB;40.0
DSA;29.0
DSS;29.0
GFAGFB;48.5
GFC;25.0
KVB;14.0
NLNVAL;28.67
STA;25.0
STB;29.0
STC;29.0
TEQTRC;27.0
