platform;avg_q
APT;18
ASL;25
DAB;40
DSA;29
DSS;29
GF;68
KVB;14
MID;14
NLNVAL;29
OSC;18
OSE;36
OSO;14
OSS;18
ST;68
TENTRB;23
TEQTRC;27
TRO;11
VFB;18
