platform;avg_q
ASL;25.0
DAB;40.0
DSA;29.0
DSS;29.0
GFAGFBGFC;67.25
KVB;14.0
NLNVAL;28.67
STASTB;46.75
STC;29.0
TEQTRC;27.0
