DUS,DRA,SLA,TEB,JSF,DUS
DUS,DRA,TEB,SLB,JSF,DUS
DUS,DRA,SLA,TEB,SLB,DUS
DUS,DSA,GKR,GUD,GRA,DUS
DUS,SLA,GKR,GUD,DSA,DUS
DUS,SLB,GKR,GUD,DSA,DUS
DUS,DSA,GUD,GKR,TEB,DUS
DUS,DSA,JSF,GKR,SLA,DUS
DUS,DSA,JSF,GKR,SLB,DUS
DUS,DSA,GKR,SLB,SLA,DUS
DUS,DSA,GKR,TEB,SLA,DUS
DUS,DSA,GKR,TEB,SLB,DUS
DUS,DSA,JSF,GUD,SLA,DUS
DUS,DSA,JSF,GUD,SLB,DUS
DUS,HDA,GRA,GUD,DSA,DUS
DUS,DSA,GUD,SLB,SLA,DUS
DUS,SLA,TEB,GUD,DSA,DUS
DUS,SLB,TEB,GUD,DSA,DUS
DUS,DSA,JSF,SLB,SLA,DUS
DUS,DSA,JSF,TEB,SLA,DUS
DUS,DSA,JSF,TEB,SLB,DUS
DUS,DSA,SLB,TEB,SLA,DUS
DUS,JSF,GKR,GUD,GRA,DUS
DUS,SLA,GKR,GUD,JSF,DUS
DUS,SLB,GKR,GUD,JSF,DUS
DUS,JSF,GUD,GKR,TEB,DUS
DUS,SLA,SLB,GKR,GUD,DUS
DUS,SLA,TEB,GKR,GUD,DUS
DUS,SLB,TEB,GKR,GUD,DUS
DUS,SLA,SLB,GKR,JSF,DUS
DUS,JSF,GKR,TEB,SLA,DUS
DUS,JSF,GKR,TEB,SLB,DUS
DUS,GKR,TEB,SLB,SLA,DUS
DUS,HDA,GRA,GUD,JSF,DUS
DUS,SLA,SLB,GUD,JSF,DUS
DUS,JSF,GUD,TEB,SLA,DUS
DUS,JSF,GUD,TEB,SLB,DUS
DUS,GUD,TEB,SLB,SLA,DUS
DUS,JSF,SLB,TEB,SLA,DUS
DUS,DRA,SLA,GKR,GUD,DSA,DUS
DUS,DRA,SLB,GKR,GUD,DSA,DUS
DUS,DRA,TEB,GKR,GUD,DSA,DUS
DUS,DRA,SLA,SLB,GKR,DSA,DUS
DUS,DRA,SLA,TEB,GKR,DSA,DUS
