Route Number,Sailed
52,1.0
68,1.0
71,2.0
79,1.0
84,3.0
119,2.0
129,2.0
139,2.0
238,1.0
363,1.0
378,1.0
494,2.0
879,2.0
954,2.0
1014,2.0
1145,1.0
1146,2.0
