Route Number,Sailed
558,3.0
886,1.0
892,1.0
893,2.0
1230,2.0
1260,2.0
1859,1.0
1865,1.0
2010,2.0
3034,1.0
5625,1.0
6535,1.0
6927,2.0
8302,1.0
