DUS,JSF,GUD,HDA,DUS
DUS,JSF,GUD,SLA,DUS
DUS,SLB,GUD,JSF,DUS
DUS,JSF,GUD,TEB,DUS
DUS,GRA,GUD,HDA,DUS
DUS,GRA,GUD,SLA,DUS
DUS,SLB,GUD,GRA,DUS
DUS,GRA,GUD,TEB,DUS
DUS,GUD,SLB,SLA,DUS
DUS,GUD,TEB,SLA,DUS
DUS,GUD,TEB,SLB,DUS
DUS,JSF,GRA,HDA,DUS
DUS,GRA,JSF,SLA,DUS
DUS,GRA,JSF,SLB,DUS
DUS,JSF,TEB,GRA,DUS
DUS,JSF,SLB,SLA,DUS
DUS,JSF,TEB,SLA,DUS
DUS,JSF,TEB,SLB,DUS
DUS,GRA,SLB,SLA,DUS
DUS,GRA,TEB,SLA,DUS
DUS,GRA,TEB,SLB,DUS
DUS,SLA,TEB,SLB,DUS
DUS,DRA,DSA,DAB,GRA,DUS
DUS,DAB,DSA,SLA,DRA,DUS
DUS,DRA,SLB,DAB,DSA,DUS
DUS,DRA,TEB,DAB,DSA,DUS
DUS,DRA,GKR,GUD,DAB,DUS
DUS,DRA,GKR,DAB,GRA,DUS
DUS,DRA,SLA,GKR,DAB,DUS
DUS,DAB,GKR,SLB,DRA,DUS
DUS,DAB,GKR,TEB,DRA,DUS
DUS,DRA,GUD,DAB,GRA,DUS
DUS,DAB,GUD,SLA,DRA,DUS
DUS,DRA,SLB,GUD,DAB,DUS
DUS,DAB,GUD,TEB,DRA,DUS
DUS,DRA,SLA,JSF,DAB,DUS
DUS,DRA,SLA,DAB,GRA,DUS
DUS,DRA,SLB,DAB,GRA,DUS
DUS,DRA,TEB,DAB,GRA,DUS
DUS,DAB,SLB,SLA,DRA,DUS
DUS,DRA,SLA,TEB,DAB,DUS
DUS,DAB,SLB,TEB,DRA,DUS
DUS,DAB,GKR,SLA,DSA,DUS
DUS,DAB,GKR,SLB,DSA,DUS
DUS,DAB,GUD,SLA,DSA,DUS
DUS,DAB,GUD,SLB,DSA,DUS
DUS,DSA,SLA,DAB,GRA,DUS
DUS,DSA,SLB,DAB,GRA,DUS
DUS,DSA,TEB,DAB,GRA,DUS
DUS,DAB,SLB,SLA,DSA,DUS
DUS,DAB,TEB,SLA,DSA,DUS
DUS,DAB,TEB,SLB,DSA,DUS
DUS,GKR,GUD,DAB,GRA,DUS
DUS,GKR,GUD,DAB,HDA,DUS
DUS,SLA,GKR,GUD,DAB,DUS
DUS,SLB,GKR,GUD,DAB,DUS
DUS,DAB,GUD,GKR,TEB,DUS
DUS,GKR,DAB,GRA,HDA,DUS
DUS,GRA,DAB,GKR,SLA,DUS
DUS,GRA,DAB,GKR,SLB,DUS
DUS,GRA,DAB,GKR,TEB,DUS
DUS,DAB,GKR,SLB,SLA,DUS
DUS,DAB,GKR,TEB,SLA,DUS
DUS,DAB,GKR,TEB,SLB,DUS
DUS,GRA,DAB,GUD,HDA,DUS
DUS,GRA,DAB,GUD,SLA,DUS
DUS,GRA,DAB,GUD,SLB,DUS
DUS,GRA,DAB,GUD,TEB,DUS
DUS,DAB,GUD,SLB,SLA,DUS
DUS,DAB,GUD,TEB,SLA,DUS
DUS,DAB,GUD,TEB,SLB,DUS
DUS,GRA,DAB,JSF,SLA,DUS
DUS,SLA,SLB,JSF,DAB,DUS
DUS,DAB,JSF,TEB,SLA,DUS
DUS,GRA,DAB,SLB,SLA,DUS
DUS,GRA,DAB,TEB,SLA,DUS
DUS,GRA,DAB,TEB,SLB,DUS
DUS,DAB,SLB,TEB,SLA,DUS
DUS,DRA,GKR,GUD,DSA,DUS
DUS,DSA,DRA,GKR,GRA,DUS
DUS,DRA,SLA,GKR,DSA,DUS
DUS,DRA,SLB,GKR,DSA,DUS
DUS,DSA,GKR,TEB,DRA,DUS
DUS,DSA,DRA,GUD,GRA,DUS
DUS,DRA,SLA,GUD,DSA,DUS
DUS,DRA,SLB,GUD,DSA,DUS
DUS,DRA,TEB,GUD,DSA,DUS
DUS,GRA,JSF,DSA,DRA,DUS
DUS,DRA,SLA,JSF,DSA,DUS
DUS,DRA,SLB,JSF,DSA,DUS
DUS,DSA,JSF,TEB,DRA,DUS
DUS,DRA,SLA,DSA,GRA,DUS
DUS,DRA,SLB,DSA,GRA,DUS
DUS,DRA,TEB,DSA,GRA,DUS
DUS,DSA,SLB,SLA,DRA,DUS
DUS,DRA,SLA,TEB,DSA,DUS
DUS,DRA,TEB,SLB,DSA,DUS
DUS,DRA,GKR,GUD,JSF,DUS
DUS,DRA,GKR,GUD,GRA,DUS
DUS,DRA,SLA,GKR,GUD,DUS
DUS,DRA,SLB,GKR,GUD,DUS
DUS,DRA,TEB,GKR,GUD,DUS
DUS,DRA,GKR,JSF,GRA,DUS
DUS,DRA,SLA,GKR,JSF,DUS
DUS,DRA,SLB,GKR,JSF,DUS
DUS,DRA,TEB,GKR,JSF,DUS
DUS,DRA,SLA,GKR,GRA,DUS
DUS,DRA,SLB,GKR,GRA,DUS
DUS,DRA,TEB,GKR,GRA,DUS
DUS,DRA,SLA,SLB,GKR,DUS
DUS,DRA,SLA,TEB,GKR,DUS
DUS,DRA,TEB,SLB,GKR,DUS
DUS,DRA,GUD,JSF,GRA,DUS
DUS,DRA,SLA,GUD,JSF,DUS
DUS,DRA,SLB,GUD,JSF,DUS
DUS,DRA,TEB,GUD,JSF,DUS
DUS,DRA,SLA,GUD,GRA,DUS
DUS,DRA,SLB,GUD,GRA,DUS
DUS,DRA,TEB,GUD,GRA,DUS
DUS,DRA,SLA,SLB,GUD,DUS
DUS,DRA,SLA,TEB,GUD,DUS
DUS,DRA,TEB,SLB,GUD,DUS
DUS,DRA,SLA,JSF,GRA,DUS
DUS,DRA,SLB,JSF,GRA,DUS
DUS,DRA,TEB,JSF,GRA,DUS
DUS,DRA,SLA,SLB,JSF,DUS
DUS,DRA,SLA,TEB,JSF,DUS
DUS,DRA,TEB,SLB,JSF,DUS
DUS,DRA,SLA,SLB,GRA,DUS
DUS,DRA,SLA,TEB,GRA,DUS
DUS,DRA,TEB,SLB,GRA,DUS
DUS,DRA,SLA,TEB,SLB,DUS
DUS,DSA,GKR,GUD,GRA,DUS
DUS,DSA,GKR,GUD,HDA,DUS
DUS,SLA,GKR,GUD,DSA,DUS
DUS,SLB,GKR,GUD,DSA,DUS
DUS,DSA,GUD,GKR,TEB,DUS
DUS,DSA,JSF,GKR,SLA,DUS
DUS,DSA,JSF,GKR,SLB,DUS
DUS,DSA,GKR,GRA,HDA,DUS
DUS,DSA,SLA,GKR,GRA,DUS
DUS,DSA,SLB,GKR,GRA,DUS
DUS,DSA,TEB,GKR,GRA,DUS
DUS,DSA,GKR,SLB,SLA,DUS
DUS,DSA,GKR,TEB,SLA,DUS
DUS,DSA,GKR,TEB,SLB,DUS
DUS,DSA,JSF,GUD,SLA,DUS
DUS,DSA,JSF,GUD,SLB,DUS
DUS,HDA,GRA,GUD,DSA,DUS
DUS,DSA,SLA,GUD,GRA,DUS
DUS,DSA,SLB,GUD,GRA,DUS
DUS,DSA,TEB,GUD,GRA,DUS
DUS,DSA,GUD,SLB,SLA,DUS
DUS,SLA,TEB,GUD,DSA,DUS
DUS,SLB,TEB,GUD,DSA,DUS
DUS,DSA,SLA,JSF,GRA,DUS
DUS,DSA,JSF,SLB,GRA,DUS
DUS,DSA,JSF,TEB,GRA,DUS
