Hours
24.14
32.47
32.96
37.7
39.27
34.5
33.94
32.12
33.03
35.4
36.86
38.29
36.37
23.94
30.8
27.29
28.95
30.93
32.72
28.79
31.52
31.62
32.25
31.93
