Demand
18.0
25.0
40.0
29.0
29.0
48.5
25.0
14.0
14.0
28.67
18.0
36.0
14.0
18.0
25.0
29.0
29.0
18.0
27.0
22.0
11.0
18.0
43.0
58.0
47.0
47.0
66.5
43.0
32.0
32.0
46.67
36.0
54.0
32.0
36.0
43.0
47.0
47.0
36.0
45.0
40.0
29.0
36.0
65.0
54.0
54.0
73.5
50.0
39.0
39.0
53.67
43.0
61.0
39.0
43.0
50.0
54.0
54.0
43.0
52.0
47.0
36.0
43.0
69.0
69.0
88.5
65.0
54.0
54.0
68.67
58.0
76.0
54.0
58.0
65.0
69.0
69.0
58.0
67.0
62.0
51.0
58.0
58.0
77.5
54.0
43.0
43.0
57.67
47.0
65.0
43.0
47.0
54.0
58.0
58.0
47.0
56.0
51.0
40.0
47.0
77.5
54.0
43.0
43.0
57.67
47.0
65.0
43.0
47.0
54.0
58.0
58.0
47.0
56.0
51.0
40.0
47.0
73.5
62.5
62.5
77.17
66.5
84.5
62.5
66.5
73.5
77.5
77.5
66.5
75.5
70.5
59.5
66.5
39.0
39.0
53.67
43.0
61.0
39.0
43.0
50.0
54.0
54.0
43.0
52.0
47.0
36.0
43.0
28.0
42.67
32.0
50.0
28.0
32.0
39.0
43.0
43.0
32.0
41.0
36.0
25.0
32.0
42.67
32.0
50.0
28.0
32.0
39.0
43.0
43.0
32.0
41.0
36.0
25.0
32.0
46.67
64.67
42.67
46.67
53.67
57.67
57.67
46.67
55.67
50.67
39.67
46.67
54.0
32.0
36.0
43.0
47.0
47.0
36.0
45.0
40.0
29.0
36.0
50.0
54.0
61.0
65.0
65.0
54.0
63.0
58.0
47.0
54.0
32.0
39.0
43.0
43.0
32.0
41.0
36.0
25.0
32.0
43.0
47.0
47.0
36.0
45.0
40.0
29.0
36.0
54.0
54.0
43.0
52.0
47.0
36.0
43.0
58.0
47.0
56.0
51.0
40.0
47.0
47.0
56.0
51.0
40.0
47.0
45.0
40.0
29.0
36.0
49.0
38.0
45.0
33.0
40.0
29.0
83.0
72.0
72.0
68.0
57.0
57.0
71.67
61.0
79.0
57.0
61.0
68.0
72.0
72.0
61.0
70.0
65.0
54.0
61.0
87.0
87.0
83.0
72.0
72.0
86.67
76.0
72.0
76.0
83.0
87.0
87.0
76.0
85.0
80.0
69.0
76.0
76.0
72.0
61.0
61.0
75.67
65.0
83.0
61.0
65.0
72.0
76.0
76.0
65.0
74.0
69.0
58.0
65.0
72.0
61.0
61.0
75.67
65.0
83.0
61.0
65.0
