platform;avg_q
APT;18.0
ASL;25.0
DAB;40.0
DSA;29.0
DSS;29.0
GFAGFBGFC;67.25
KVB;14.0
MID;14.0
NLNVAL;28.67
OSC;18.0
OSE;36.0
OSOVFB;28.5
OSS;18.0
STASTBSTC;68.5
TENTRB;23.5
TEQTRC;27.0
TRO;11.0
