DUS,DABGRA,DUS
DUS,DRA,DUS
DUS,DSA,DUS
DUS,GKRSLB,DUS
DUS,GUD,DUS
DUS,JSF,DUS
DUS,HDA,DUS
DUS,SLA,DUS
DUS,DRA,JSF,GUD,HDA,DUS
DUS,DRA,SLA,GUD,JSF,DUS
DUS,DRA,TEB,GUD,JSF,DUS
DUS,DRA,SLA,GUD,HDA,DUS
DUS,DRA,TEB,GUD,HDA,DUS
DUS,DRA,SLA,TEB,GUD,DUS
DUS,DRA,SLA,JSF,HDA,DUS
DUS,HDA,JSF,TEB,DRA,DUS
DUS,DRA,SLA,TEB,JSF,DUS
DUS,DRA,SLA,TEB,HDA,DUS
DUS,DSA,GKRSLB,GUD,HDA,DUS
DUS,SLA,GKRSLB,GUD,DSA,DUS
DUS,DSA,GUD,GKRSLB,TEB,DUS
DUS,DSA,JSF,GKRSLB,SLA,DUS
DUS,DSA,SLA,GKRSLB,HDA,DUS
DUS,DSA,TEB,GKRSLB,HDA,DUS
DUS,DSA,GKRSLB,TEB,SLA,DUS
DUS,DSA,JSF,GUD,SLA,DUS
DUS,DSA,SLA,GUD,HDA,DUS
DUS,DSA,TEB,GUD,HDA,DUS
DUS,SLA,TEB,GUD,DSA,DUS
DUS,DSA,JSF,SLA,HDA,DUS
DUS,DSA,JSF,TEB,SLA,DUS
DUS,DSA,SLA,TEB,HDA,DUS
DUS,SLA,GKRSLB,GUD,JSF,DUS
DUS,JSF,GUD,GKRSLB,TEB,DUS
DUS,HDA,GUD,GKRSLB,SLA,DUS
DUS,HDA,GUD,GKRSLB,TEB,DUS
DUS,SLA,TEB,GKRSLB,GUD,DUS
DUS,JSF,SLA,GKRSLB,HDA,DUS
DUS,JSF,GKRSLB,TEB,HDA,DUS
DUS,JSF,GKRSLB,TEB,SLA,DUS
DUS,HDA,GKRSLB,TEB,SLA,DUS
DUS,JSF,SLA,GUD,HDA,DUS
DUS,JSF,TEB,GUD,HDA,DUS
DUS,JSF,GUD,TEB,SLA,DUS
DUS,HDA,GUD,TEB,SLA,DUS
DUS,JSF,SLA,TEB,HDA,DUS
DUS,DRA,SLA,GKRSLB,GUD,DSA,DUS
DUS,DRA,TEB,GKRSLB,GUD,DSA,DUS
DUS,DSA,DRA,SLA,GKRSLB,HDA,DUS
DUS,DSA,DRA,TEB,GKRSLB,HDA,DUS
DUS,DRA,SLA,TEB,GKRSLB,DSA,DUS
DUS,HDA,GUD,SLA,DRA,DSA,DUS
DUS,DSA,DRA,TEB,GUD,HDA,DUS
DUS,DRA,SLA,TEB,GUD,DSA,DUS
DUS,DSA,DRA,SLA,TEB,HDA,DUS
DUS,DRA,SLA,GKRSLB,GUD,HDA,DUS
DUS,DRA,TEB,GKRSLB,GUD,HDA,DUS
DUS,DRA,SLA,TEB,GKRSLB,GUD,DUS
DUS,DRA,SLA,TEB,GKRSLB,JSF,DUS
DUS,DRA,SLA,TEB,GKRSLB,HDA,DUS
DUS,JSF,DRA,SLA,GUD,HDA,DUS
DUS,DRA,SLA,TEB,GUD,JSF,DUS
DUS,DRA,SLA,TEB,GUD,HDA,DUS
DUS,DRA,SLA,TEB,JSF,HDA,DUS
DUS,DSA,SLA,GKRSLB,GUD,HDA,DUS
DUS,DSA,GUD,GKRSLB,TEB,SLA,DUS
DUS,DSA,SLA,TEB,GKRSLB,HDA,DUS
DUS,DSA,SLA,TEB,GUD,HDA,DUS
DUS,HDA,GUD,GKRSLB,TEB,SLA,DUS
DUS,JSF,SLA,TEB,GUD,HDA,DUS
DUS,DSA,DRA,SLA,TEB,GUD,HDA,DUS
DUS,DRA,SLA,TEB,GKRSLB,GUD,HDA,DUS
