Route Number,Sailed
8,3.596562577599687e-07
214,0.9999994239745855
248,0.9999995680098457
381,6.481994460072471e-07
417,1.9999996760653722
453,1.9999993159602152
465,1.000001152060453
556,0.9999989558340691
557,4.681440439746609e-07
667,5.400618062736935e-07
668,0.9999988838093203
695,2.0
697,0.9999993519592788
714,7.200491948525162e-07
1016,6.481277565779221e-07
1073,0.9999994960030671
1502,0.9999996760473835
1648,6.480537440221243e-07
1649,0.9999996760638961
2104,1.0000010079876684
3296,3.591383567663314e-08
3469,6.481913450357888e-07
3510,3.240997230591347e-07
3511,1.9999996760703511
3612,1.0
3614,0.9999989918592669
