Demand
65.0
77.17
84.5
62.5
83.0
72.0
86.0
68.0
93.67
94.0
92.0
87.0
91.5
97.0
99.0
77.0
94.0
98.0
97.0
92.0
99.0
87.0
76.0
95.0
96.67
100.0
88.5
83.0
87.5
90.0
86.67
85.0
87.0
83.0
83.0
83.0
83.0
87.5
87.5
89.5
81.0
83.0
87.67
86.0
90.0
90.0
82.0
87.67
86.0
90.0
90.0
88.0
69.0
69.0
66.5
66.5
64.67
45.0
49.0
68.0
68.0
68.0
68.0
69.0
68.0
68.0
68.0
64.67
68.0
68.0
