platform;avg_q
APT;18.0
ASL;25.0
KVB;14.0
MID;14.0
NLNVAL;28.67
OSC;18.0
OSE;36.0
OSO;14.0
OSS;18.0
TEN;18.0
TEQTRC;27.0
TRB;22.0
TRO;11.0
VFB;18.0

