Route Number,Sailed
18,1.0000004997749543
19,2.9999995002039657
24,4.999999987376214e-07
55,1.999997000208238
56,2.00000049988764
60,2.4998615609890138e-06
66,0.9999990002077009
155,1.0000004998799925
235,0.9999995001564725
270,4.999999997013564e-07
299,2.9998529402363826e-06
304,1.999997000197346
406,0.9999995001923053
407,0.9999995001577057
536,1.0
543,1.0000004998026544
606,4.999186984797248e-07
629,1.9999990002024062
630,4.998393055170092e-07
676,0.9999995002025683
797,2.000000499867574
861,4.998653053967288e-07
885,1.0000004998576617
929,1.0
931,1.0
1053,0.9999995002163571
