F,T,S,Value
1,2,1,0.1521
1,3,1,0.1328
1,4,1,0.1134
1,5,1,0.0941
2,2,1,0.1403
2,3,1,0.118
2,4,1,0.0956
2,5,1,0.0732
3,2,1,0.4511
3,3,1,0.3878
3,4,1,0.3246
3,5,1,0.2613
4,2,1,0.2906
4,3,1,0.253
4,4,1,0.2153
4,5,1,0.1777
5,2,1,0.2036
5,3,1,0.1848
5,4,1,0.1661
5,5,1,0.1474
6,2,1,0.2255
6,3,1,0.1852
6,4,1,0.1449
6,5,1,0.1046
