F,T,S,Value
1,2,1,0.1625
1,3,1,0.1536
1,4,1,0.1448
1,5,1,0.1359
2,2,1,0.1495
2,3,1,0.1362
2,4,1,0.123
2,5,1,0.1098
3,2,1,0.4798
3,3,1,0.4453
3,4,1,0.4108
3,5,1,0.3763
4,2,1,0.3089
4,3,1,0.2895
4,4,1,0.2702
4,5,1,0.2509
5,2,1,0.2199
5,3,1,0.2175
5,4,1,0.2151
5,5,1,0.2127
6,2,1,0.2393
6,3,1,0.2127
6,4,1,0.1862
6,5,1,0.1597
