F,T,S,Value
1,2,1,0.173
1,3,1,0.1746
1,4,1,0.1761
1,5,1,0.1777
2,2,1,0.1586
2,3,1,0.1545
2,4,1,0.1504
2,5,1,0.1463
3,2,1,0.5085
3,3,1,0.5028
3,4,1,0.497
3,5,1,0.4912
4,2,1,0.3272
4,3,1,0.3261
4,4,1,0.3251
4,5,1,0.324
5,2,1,0.2362
5,3,1,0.2502
5,4,1,0.2641
5,5,1,0.278
6,2,1,0.2151
6,3,1,0.225
6,4,1,0.2348
6,5,1,0.2446
7,2,1,0.2046
7,3,1,0.2124
7,4,1,0.2201
7,5,1,0.2279
8,2,1,0.1788
8,3,1,0.1743
8,4,1,0.1698
8,5,1,0.1653
9,2,1,0.2797
9,3,1,0.2622
9,4,1,0.2446
9,5,1,0.2271
1,2,2,0.173
1,3,2,0.1746
1,4,2,0.1761
1,5,2,0.1777
2,2,2,0.1586
2,3,2,0.1545
2,4,2,0.1504
2,5,2,0.1463
3,2,2,0.5085
3,3,2,0.5028
3,4,2,0.497
3,5,2,0.4912
4,2,2,0.3272
4,3,2,0.3261
4,4,2,0.3251
4,5,2,0.324
5,2,2,0.2272
5,3,2,0.2321
5,4,2,0.237
5,5,2,0.242
6,2,2,0.2091
6,3,2,0.2129
6,4,2,0.2167
6,5,2,0.2205
7,2,2,0.2001
7,3,2,0.2033
7,4,2,0.2066
7,5,2,0.2098
8,2,2,0.1811
8,3,2,0.179
8,4,2,0.1769
8,5,2,0.1748
9,2,2,0.2797
9,3,2,0.2622
9,4,2,0.2446
9,5,2,0.2271
1,2,3,0.173
1,3,3,0.1746
1,4,3,0.1761
1,5,3,0.1777
2,2,3,0.1586
2,3,3,0.1545
2,4,3,0.1504
2,5,3,0.1463
3,2,3,0.5085
3,3,3,0.5028
3,4,3,0.497
3,5,3,0.4912
4,2,3,0.3272
4,3,3,0.3261
4,4,3,0.3251
4,5,3,0.324
5,2,3,0.2182
5,3,3,0.2141
5,4,3,0.21
5,5,3,0.2059
6,2,3,0.2031
6,3,3,0.2009
6,4,3,0.1987
6,5,3,0.1965
7,2,3,0.1956
7,3,3,0.1943
7,4,3,0.1931
7,5,3,0.1918
8,2,3,0.1835
8,3,3,0.1838
8,4,3,0.184
8,5,3,0.1843
9,2,3,0.2797
9,3,3,0.2622
9,4,3,0.2446
9,5,3,0.2271
1,2,4,0.173
1,3,4,0.1746
1,4,4,0.1761
1,5,4,0.1777
2,2,4,0.1586
2,3,4,0.1545
2,4,4,0.1504
2,5,4,0.1463
3,2,4,0.4798
3,3,4,0.4453
3,4,4,0.4108
3,5,4,0.3763
4,2,4,0.3089
4,3,4,0.2895
4,4,4,0.2702
4,5,4,0.2509
5,2,4,0.2362
5,3,4,0.2502
5,4,4,0.2641
5,5,4,0.278
6,2,4,0.2151
6,3,4,0.225
6,4,4,0.2348
6,5,4,0.2446
7,2,4,0.2046
7,3,4,0.2124
7,4,4,0.2201
