F,T,S,Value
1,2,1,0.178
1,3,1,0.173372
1,4,1,0.16874399999999998
1,5,1,0.16411599999999998
2,2,1,0.146
2,3,1,0.142204
2,4,1,0.13840799999999998
2,5,1,0.13461199999999998
3,2,1,0.491
3,3,1,0.47577899999999995
3,4,1,0.46055799999999997
3,5,1,0.4453369999999999
4,2,1,0.324
4,3,1,0.313956
4,4,1,0.303912
4,5,1,0.29386799999999996
5,2,1,0.278
5,3,1,0.3113600000000001
5,4,1,0.3447200000000001
5,5,1,0.37808000000000014
6,2,1,0.245
6,3,1,0.27440000000000003
6,4,1,0.30380000000000007
6,5,1,0.33320000000000005
7,2,1,0.228
7,3,1,0.25536000000000003
7,4,1,0.2827200000000001
7,5,1,0.3100800000000001
8,2,1,0.201
8,3,1,0.22512000000000004
8,4,1,0.24924000000000004
8,5,1,0.2733600000000001
9,2,1,0.227
9,3,1,0.219963
9,4,1,0.212926
9,5,1,0.205889
