ID;Latitude;Longitude
DUS;58.97;5.39
DAB;59.15;2.40
DRA;58.19;2.47
DSA;58.77;2.77
GKR;58.57;1.70
GUD;58.85;1.74
JSF;58.84;2.56
GRA;59.16;2.49
HDA;59.57;2.23
SLA;58.37;1.90
SLB;58.42;1.72
TEB;58.37;1.55
