ID;Latitude;Longitude;Cargo_per_visit;Visits_per_week
DAB;59.15;2.40;40;4
DRA;58.19;2.47;14;1
DSA;58.77;2.77;29;3
GKR;58.57;1.70;18;1
GUD;58.85;1.74;18;1
JSF;58.84;2.56;40;4
GRA;59.16;2.49;14;3
HDA;59.57;2.23;18;4
SLA;58.37;1.90;4;1
SLB;58.42;1.72;7;2
TEB;58.37;1.55;14;3
