Hours
25.03
24.14
30.84
28.89
32.47
32.79
26.75
23.3
29.22
23.94
24.54
35.98
36.61
28.84
29.06
32.8
29.13
34.48
33.56
36.69
29.51
28.92
36.6
28.21
33.97
36.36
38.87
34.05
37.27
31.41
25.92
32.22
29.33
31.21
30.47
26.97
30.66
28.28
37.78
40.13
36.85
38.42
37.25
35.25
31.44
35.24
37.46
38.45
36.31
30.57
38.1
31.92
31.03
35.9
38.67
35.6
36.88
32.3
28.89
33.72
32.18
38.77
37.29
39.34
38.49
39.2
