platform;avg_q
ASL;25.0
NLN;25.0
VAL;11.0
KVB;14.0
TEN;18.0
TEQ;18.0
TRB;22.0
TRC;18.0
TRO;11.0
VFB;18.0
OSO;14.0
MID;14.0
OSC;18.0
OSE;36.0
OSS;18.0
