Demand
30.0
25.0
40.0
90.25
29.0
67.25
38.0
14.0
43.2
28.5
56.0
55.0
70.0
59.0
97.25
68.0
44.0
73.2
58.5
86.0
65.0
54.0
92.25
63.0
39.0
68.2
53.5
81.0
69.0
78.0
54.0
83.2
68.5
96.0
96.25
67.0
43.0
72.2
57.5
85.0
81.25
95.75
52.0
81.2
66.5
94.0
57.2
42.5
70.0
71.7
99.2
84.5
95.0
84.0
93.0
69.0
98.2
83.5
99.0
84.0
98.5
97.0
73.0
87.5
82.0
96.5
87.2
72.5
100.0
94.0
79.0
93.5
92.0
68.0
97.2
82.5
77.0
91.5
82.2
67.5
95.0
96.7
83.0
97.5
92.0
97.2
82.5
81.0
95.5
86.2
71.5
99.0
95.2
80.5
85.7
98.5
98.0
97.5
96.5
