ID;Latitude;Longitude;Cargo_per_visit;Visits_per_week
ASL;61.07;2.00;25;3
NLN;61.03;2.33;25;3
VAL;61.04;2.38;11;1
KVB;61.08;2.50;14;2
TEN;60.72;3.52;18;4
TEQ;60.87;3.55;18;4
TRB;60.77;3.50;22;1
TRC;60.88;3.60;18;2
TRO;60.64;3.72;11;2
VFB;60.78;2.90;18;4
OSO;60.70;2.93;14;3
MID;60.50;2.02;14;2
OSC;60.61;2.78;18;2
OSE;60.49;2.83;36;5
OSS;60.38;2.79;18;3
