platform;avg_q
APT;18.0
ASL;25.0
DAB;40.0
DSA;29.0
DSS;29.0
GFA;32.0
GFB;22.0
GFC;25.0
KVB;14.0
MID;14.0
NLN;25.0
OSC;18.0
OSE;36.0
OSO;14.0
OSS;18.0
STA;25.0
STB;29.0
STC;29.0
TEN;18.0
TEQ;18.0
TRB;22.0
TRC;18.0
TRO;11.0
VAL;11.0
VFB;18.0
