Route Number,Sailed
19,1.0
20,3.0
35,1.0
53,2.0
57,2.0
63,1.0
80,1.0
85,4.0
86,1.0
138,1.0
231,2.0
284,1.0
350,1.0
351,1.0
405,2.0
437,1.0
501,2.0
