Hours
41.73
32.48
36.34
36.79
35.18
36.97
43.97
43.54
49.85
38.16
38.21
40.62
37.91
41.11
38.21
43.76
38.69
38.89
38.4
50.55
44.45
40.1
39.83
39.33
40.15
41.09
