Route Number,Sailed
1,2.0
17,2.0
19,1.0
27,2.0
44,1.0
48,1.0
50,2.0
54,2.0
86,2.0
96,1.0
110,2.0
128,1.0
214,2.0
218,1.0
230,2.0
