Route Number,Sailed
6,4.0
40,2.0
53,1.0
59,3.0
61,1.0
69,1.0
80,2.0
90,1.0
100,1.0
121,2.0
137,2.0
177,1.0
200,1.0
207,1.0
366,2.0
377,2.0
