Route Number,Sailed
13,1.0
20,4.0
206,1.0
263,2.0
435,1.0
436,1.0
468,2.0
1474,1.0
4188,1.0
6301,1.0
6313,1.0
7503,1.0
8825,1.0
11426,1.0
11475,1.0
